Phonological Forms,Syllabic Structures,Number of Syllables,Written Forms,Syntactic Categories,Frequency,Stress Patterns
ʔɒb.zi.re.cɒh,CVC.CV.CV.CVC,4,آب‌زيركاه,A0,1,WWWS
ʔɒb.se.fid,CVC.CV.CVC,3,آب‌سفيد,N1,15,WWS
ʔɒ.be.si.jɒh,CV.CV.CV.CVC,4,آب‌سياه,N1,15,WWWS
ʔɒb.ʃe.nɒs,CVC.CV.CVC,3,آب‌شناس,N1,1,WWS
ʔɒb.ʃe.nɒ.si,CVC.CV.CV.CV,4,آب‌شناسي,N1,4,WWWS
ʔɒb.ʃib,CVC.CVC,2,آب‌شيب,N1,1,WS
ʔɒb.ʃi.rin.con,CVC.CV.CVC.CVC,4,آب‌شيرين‌كن,N1,4,WWWS
ʔɒb.tæ.lɒ,CVC.CV.CV,3,آب‌طلا,N1,1,WWS
ʔɒb.tæ.lɒ.cɒ.ri,CVC.CV.CV.CV.CV,5,آب‌طلاكاري,N1,15,WWWWS
ʔɒb.fe.ʃɒn,CVC.CV.CVC,3,آب‌فشان,N1,1,WWS
ʔɒ.be.Gænd,CV.CV.CVCC,3,آب‌قند,N1,15,WWS
ʔɒb.cær.dæ.ni,CVC.CVC.CV.CV,4,آب‌كردني,A0,1,WWWS
ʔɒb.ce.ʃi.de,CVC.CV.CV.CV,4,آب‌كشيده,A0,1,WWWS
ʔɒb.ɟo.zær,CVC.CV.CVC,3,آب‌گذر,N1,2,WWS
ʔɒb.ɟæ.rɒ,CVC.CV.CV,3,آب‌گرا,A0,1,WWS
ʔɒb.ɟe.rɒ.ji,CVC.CV.CV.CV,4,آب‌گرايي,N1,1,WWWS
ʔɒb.ɟær.dɒn,CVC.CVC.CVC,3,آب‌گردان,N1,1,WWS
ʔɒb.ɟær.deʃ,CVC.CVC.CVC,3,آب‌گردش,N1,1,WWS
ʔɒb.ɟe.ref.te.ɟi,CVC.CV.CVC.CV.CV,5,آب‌گرفتگي,N1,15,WWWWS
ʔɒb.ɟærm.con,CVC.CVCC.CVC,3,آب‌گرمكن,N1,18,WWS
ʔɒb.ɟo.ri.zi,CVC.CV.CV.CV,4,آب‌گريزي,N1,1,WWWS
ʔɒb.ɟi.ri,CVC.CV.CV,3,آب‌گيري,N1,39,WWS
ʔɒb.læm.bu,CVC.CVC.CV,3,آب‌لمبو,A0,1,WWS
ʔɒb.læm.bu,CVC.CVC.CV,3,آب‌لنبو,A0,1,WWS
ʔɒ.be.mor.vɒ.rid,CV.CV.CVC.CV.CVC,5,آب‌مرواريد,N1,15,WWWWS
ʔɒb.mæʔ.dæ.ni,CVC.CVC.CV.CV,4,آب‌معدني,N1,120,WWWS
ʔɒb.mi.ve,CVC.CV.CV,3,آب‌ميوه,N1,39,WWS
ʔɒb.nɒ.renʤ,CVC.CV.CVCC,3,آب‌نارنج,N1,1,WWS
ʔɒb.nɒj,CVC.CVC,2,آب‌ناي,N1,1,WS
ʔɒb.næ.bɒt,CVC.CV.CVC,3,آب‌نبات,N1,30,WWS
ʔɒb.næ.bɒt.torʃ,CVC.CV.CVC.CVCC,4,آب‌نبات‌ترش,N1,1,WWWS
ʔɒb.næ.bɒt.ʧu.bi,CVC.CV.CVC.CV.CV,5,آب‌نبات‌چوبي,N1,1,WWWWS
ʔɒb.næ.bɒt.Gej.ʧi,CVC.CV.CVC.CVC.CV,5,آب‌نبات‌قيچي,N1,1,WWWWS
ʔɒb.næ.bɒt.ce.ʃi,CVC.CV.CVC.CV.CV,5,آب‌نبات‌كشي,N1,1,WWWWS
ʔɒb.næ.di.de,CVC.CV.CV.CV,4,آب‌نديده,A0,2,WWWS
ʔɒb.næ.ro,CVC.CV.CV,3,آب‌نرو,A0,1,WWS
ʔɒb.ne.ʃin,CVC.CV.CVC,3,آب‌نشين,A0,1,WWS
ʔɒb.næft,CVC.CVCC,2,آب‌نفت,N1,1,WS
ʔɒb.næ.ce.ʃi.de,CVC.CV.CV.CV.CV,5,آب‌نكشيده,A0,1,WWWWS
ʔɒb.næ.mɒ,CVC.CV.CV,3,آب‌نما,N1,45,WWS
ʔɒb.næ.mɒ.ʔi,CVC.CV.CV.CV,4,آب‌نمائي,N1,15,WWWS
ʔɒb.næ.mɒ.ji,CVC.CV.CV.CV,4,آب‌نمايي,N1,15,WWWS
ʔɒb.næ.mæc,CVC.CV.CVC,3,آب‌نمك,N1,4,WWS
ʔɒb.nej,CVC.CVC,2,آب‌ني,N1,1,WS
ʔɒb.hæ.rɒ.si,CVC.CV.CV.CV,4,آب‌هراسي,N1,1,WWWS
ʔɒb.hæ.viʤ,CVC.CV.CVC,3,آب‌هويج,N1,2,WWS
ʔɒ.bo.bærG,CV.CV.CVCC,3,آب‌و‌برق,N1,1,WWS
ʔɒ.bo.tɒb,CV.CV.CVC,3,آب‌و‌تاب,N1,3,WWS
ʔɒ.bo.χɒc,CV.CV.CVC,3,آب‌و‌خاك,N1,5,WWS
ʔɒ.bo.melc,CV.CV.CVCC,3,آب‌و‌ملك,N1,1,WWS
ʔɒ.bo.ʤɒ.ru,CV.CV.CV.CV,4,آب‌وجارو,N1,1,WWWS
ʔɒ.bo.dɒn,CV.CV.CVC,3,آب‌ودان,N1,1,WWS
ʔɒ.bo.dɒ.ne,CV.CV.CV.CV,4,آب‌ودانه,N1,1,WWWS
ʔɒ.bo.rænɟ,CV.CV.CVCC,3,آب‌ورنگ,N1,15,WWS
ʔɒ.bo.ʔæ.læf,CV.CV.CV.CVC,4,آب‌وعلف,N1,1,WWWS
ʔɒ.bo.ɟel,CV.CV.CVC,3,آب‌وگل,N1,1,WWS
ʔɒ.bo.nɒn,CV.CV.CVC,3,آب‌ونان,N1,1,WWS
ʔɒ.bo.hæ.vɒ,CV.CV.CV.CV,4,آب‌وهوا,N1,150,WWWS
ʔɒ.bo.hæ.vɒ.ʔi,CV.CV.CV.CV.CV,5,آب‌وهوائي,A0,60,WWWWS
ʔɒ.bo.hæ.vɒ.ʃe.nɒ.si,CV.CV.CV.CV.CV.CV.CV,7,آب‌وهواشناسي,N1,1,WWWWWWS
ʔɒ.bo.hæ.vɒ.ji,CV.CV.CV.CV.CV,5,آب‌وهوايي,A0,15,WWWWS
ʔɒ.bɒ,CV.CV,2,آباء,N1,8,WS
ʔɒ.bɒ.ʤi,CV.CV.CV,3,آباجي,N1,1,WWS
ʔɒ.bɒd,CV.CVC,2,آباد,A0,60,WS
ʔɒ.bɒ.dɒn,CV.CV.CVC,3,آبادان,A0,465,WWS
ʔɒ.bɒ.dɒ.ni,CV.CV.CV.CV,4,آباداني,N1,15,WWWS
ʔɒ.bɒd.sɒ.zi,CV.CVC.CV.CV,4,آبادسازي,N1,3,WWWS
ʔɒ.bɒd.ɟær,CV.CVC.CVC,3,آبادگر,A0,3,WWS
ʔɒ.bɒd.ɟæ.ri,CV.CVC.CV.CV,4,آبادگري,N1,1,WWWS
ʔɒ.bɒ.di,CV.CV.CV,3,آبادي,N1,195,WWS
ʔɒ.bɒr,CV.CVC,2,آبار,N1,1,WS
ʔɒ.bɒ.re,CV.CV.CV,3,آباره,N1,1,WWS
ʔɒ.bɒ.ʒur,CV.CV.CVC,3,آباژور,N1,2,WWS
ʔɒ.bɒ.ʒur.sɒ.zi,CV.CV.CVC.CV.CV,5,آباژورسازي,N1,1,WWWWS
ʔɒ.bɒ.cɒ,CV.CV.CV,3,آباكا,N1,1,WWS
ʔɒ.bɒn,CV.CVC,2,آبان,N1,285,WS
ʔɒ.bɒn.mɒh,CV.CVC.CVC,3,آبان‌ماه,N1,159,WWS
ʔɒb.bu.ʔi,CVC.CV.CV,3,آببوئي,N1,15,WWS
ʔɒb.pɒʃ,CVC.CVC,2,آبپاش,N1,30,WS
ʔɒ.tɒz,CV.CVC,2,آبتاز,N1,1,WS
ʔɒb.tæl,CVC.CVC,2,آبتل,N1,1,WS
ʔɒb.tæ.ni,CVC.CV.CV,3,آبتني,N1,1,WWS
ʔɒb.ʤo,CVC.CV,2,آبجو,N1,15,WS
ʔɒb.ʤo.sɒ.zi,CVC.CV.CV.CV,4,آبجوسازي,N1,1,WWWS
ʔɒb.ʤi,CVC.CV,2,آبجي,N1,1,WS
ʔɒb.ʧær,CVC.CVC,2,آبچر,A0,1,WS
ʔɒb.ʧæ.rɒ,CVC.CV.CV,3,آبچرا,N1,1,WWS
ʔɒb.ʧe.ʃi,CVC.CV.CV,3,آبچشي,N1,1,WWS
ʔɒb.ʧæ.cu,CVC.CV.CV,3,آبچكو,A0,1,WWS
ʔɒb.ʧe.lic,CVC.CV.CVC,3,آبچليك,N1,1,WWS
ʔɒb.ʧe.li.cɒn,CVC.CV.CV.CVC,4,آبچليكان,N1,1,WWWS
ʔɒb.χɒn,CVC.CVC,2,آبخوان,N1,15,WS
ʔɒb.χɒn.dɒ.ri,CVC.CVC.CV.CV,4,آبخوانداري,N1,1,WWWS
ʔɒb.χor,CVC.CVC,2,آبخور,N1,4,WS
ʔɒb.χord,CVC.CVCC,2,آبخورد,N1,30,WS
ʔɒb.χiz,CVC.CVC,2,آبخيز,N1,30,WS
ʔɒb.χiz.dɒ.ri,CVC.CVC.CV.CV,4,آبخيزداري,N1,45,WWWS
ʔɒb.dɒ.de,CVC.CV.CV,3,آبداده,N1,1,WWS
ʔɒb.dɒr,CVC.CVC,2,آبدار,A0,30,WS
ʔɒb.dɒr.ʧi,CVC.CVC.CV,3,آبدارچي,N1,8,WWS
ʔɒb.dɒr.χɒ.ne,CVC.CVC.CV.CV,4,آبدارخانه,N1,30,WWWS
ʔɒb.dɒr.χɒ.ne.dɒr,CVC.CVC.CV.CV.CVC,5,آبدارخانه‌دار,A0,1,WWWWS
ʔɒb.dɒ.ræc,CVC.CV.CVC,3,آبدارك,N1,1,WWS
ʔɒb.dɒ.ri,CVC.CV.CV,3,آبداري,N1,1,WWS
ʔɒb.dɒn,CVC.CVC,2,آبدان,N1,2,WS
ʔɒb.dɒ.næc,CVC.CV.CVC,3,آبدانك,N1,1,WWS
ʔɒb.dær.re,CVC.CVC.CV,3,آبدره,N1,1,WWS
ʔɒ.dæm.zæn,CV.CVC.CVC,3,آبدمزن,N1,1,WWS
ʔɒb.dænɟ,CVC.CVCC,2,آبدنگ,N1,1,WS
ʔɒb.deh,CVC.CVC,2,آبده,N1,60,WS
ʔɒb.dust,CVC.CVCC,2,آبدوست,A0,1,WS
ʔɒb.duG,CVC.CVC,2,آبدوغ,N1,1,WS
ʔɒb.di.de.ɟi,CVC.CV.CV.CV,4,آبديدگي,N1,1,WWWS
ʔɒb.rɒh,CVC.CVC,2,آبراه,N1,15,WS
ʔɒb.rɒ.he,CVC.CV.CV,3,آبراهه,N1,2,WWS
ʔɒb.re.sɒ.ni,CVC.CV.CV.CV,4,آبرساني,N1,135,WWWS
ʔɒb.roft,CVC.CVCC,2,آبرفت,N1,30,WS
ʔɒb.ræf.te.ɟi,CVC.CVC.CV.CV,4,آبرفتگي,N1,15,WWWS
ʔɒb.rof.ti,CVC.CVC.CV,3,آبرفتي,A0,30,WWS
ʔɒb.rænɟ,CVC.CVCC,2,آبرنگ,N1,45,WS
ʔɒ.be.ru,CV.CV.CV,3,آبرو,N1,90,WWS
ʔɒb.ro,CVC.CV,2,آبرو,N1,1,WS
ʔɒ.be.ru.bæ.ri,CV.CV.CV.CV.CV,5,آبروبري,N1,1,WWWS
ʔɒb.rut,CVC.CVC,2,آبروت,N1,1,WS
ʔɒb.ru.dɒr,CVC.CV.CVC,3,آبرودار,A0,1,WWS
ʔɒb.ru.dɒ.ri,CVC.CV.CV.CV,4,آبروداري,N1,1,WWWS
ʔɒ.be.ru.ri.zi,CV.CV.CV.CV.CV,5,آبروريزي,N1,15,WWWWS
ʔɒ.be.ru.mænd,CV.CV.CV.CVCC,4,آبرومند,A0,30,WWWS
ʔɒ.be.ru.mæn.dɒ.ne,CV.CV.CV.CVC.CV.CV,6,آبرومندانه,Ad,15,WWWWWS
ʔɒb.ru.mæn.di,CVC.CV.CVC.CV,4,آبرومندي,N1,1,WWWS
ʔɒb.run,CVC.CVC,2,آبرون,N1,1,WS
ʔɒb.ruj,CVC.CVC,2,آبروي,N1,15,WS
ʔɒb.riz,CVC.CVC,2,آبريز,N1,30,WS
ʔɒb.ri.zeʃ,CVC.CV.CVC,3,آبريزش,N1,30,WWS
ʔɒb.riz.ɟɒh,CVC.CVC.CVC,3,آبريزگاه,N1,1,WWS
ʔɒb.ri.ze,CVC.CV.CV,3,آبريزه,N1,1,WWS
ʔɒb.zɒ,CVC.CV,2,آبزا,N1,1,WS
ʔɒb.zo.dɒ.ji,CVC.CV.CV.CV,4,آبزدايي,N1,1,WWWS
ʔɒb.zæn,CVC.CVC,2,آبزن,N1,1,WS
ʔɒb.zi,CVC.CV,2,آبزي,A0,405,WS
ʔɒb.zi.pær.væ.ri,CVC.CV.CVC.CV.CV,5,آبزي‌پروري,N1,8,WWWWS
ʔɒb.zi.χɒ.ne,CVC.CV.CV.CV,4,آبزيخانه,N1,1,WWWS
ʔɒb.zi.dɒn,CVC.CV.CVC,3,آبزيدان,N1,1,WWS
ʔɒb.sɒb,CVC.CVC,2,آبساب,N1,1,WS
ʔɒb.sɒl,CVC.CVC,2,آبسال,N1,7,WS
ʔɒb.sɒ.lɒn,CVC.CV.CVC,3,آبسالان,N1,1,WWS
ʔɒ.bæst,CV.CVCC,2,آبست,N1,1,WS
ʔɒ.bes.tɒn,CV.CVC.CVC,3,آبستان,N1,1,WWS
ʔɒ.best.re,CV.CVCC.CV,3,آبستره,A0,15,WWS
ʔɒ.bes.tæn,CV.CVC.CVC,3,آبستن,A0,15,WWS
ʔɒ.bes.tæ.ni,CV.CVC.CV.CV,4,آبستني,N1,15,WWWS
ʔɒ.bæs.te,CV.CVC.CV,3,آبسته,N1,1,WWS
ʔɒb.sor,CVC.CVC,2,آبسر,N1,1,WS
ʔɒb.sæ.rɒ,CVC.CV.CV,3,آبسرا,N1,1,WWS
ʔɒb.særd.con,CVC.CVCC.CVC,3,آبسردكن,N1,4,WWS
ʔɒb.særd.co.ni,CVC.CVCC.CV.CV,4,آبسردكني,N1,1,WWWS
ʔɒb.sænʤ,CVC.CVCC,2,آبسنج,N1,1,WS
ʔɒb.sænɟ,CVC.CVCC,2,آبسنگ,N1,6,WS
ʔɒb.se,CVC.CV,2,آبسه,N1,4,WS
ʔɒb.ʃɒr,CVC.CVC,2,آبشار,N1,60,WS
ʔɒb.ʃɒ.me,CVC.CV.CV,3,آبشامه,N1,1,WWS
ʔɒ.beʃ.χor,CV.CVC.CVC,3,آبشخور,N1,12,WWS
ʔɒb.ʃor,CVC.CVC,2,آبشر,N1,1,WS
ʔɒb.ʃoʃ,CVC.CVC,2,آبشش,N1,1,WS
ʔɒb.ʃoʃ.pɒ,CVC.CVC.CV,3,آبشش‌پا,A0,1,WWS
ʔɒb.ʃoʃ.pɒ.jɒn,CVC.CVC.CV.CVC,4,آبشش‌پايان,N1,1,WWWS
ʔɒb.ʃoʃ.dɒr,CVC.CVC.CVC,3,آبششدار,A0,1,WWS
ʔɒb.ʃoʃ.dɒ.rɒn,CVC.CVC.CV.CVC,4,آبششداران,N1,1,WWWS
ʔɒb.ʃo.ʃi,CVC.CV.CV,3,آبششي,A0,1,WWWS
ʔɒb.ʃe.cæn,CVC.CV.CVC,3,آبشكن,N1,15,WWS
ʔɒb.ʃæn,CVC.CVC,2,آبشن,N1,1,WS
ʔɒb.ʃu.je,CVC.CV.CV,3,آبشويه,N1,1,WWS
ʔɒb.ʃu.ji,CVC.CV.CV,3,آبشويي,N1,1,WWS
ʔɒb.ʃi.rin,CVC.CV.CVC,3,آبشيرين,N1,2,WWS
ʔɒb.Gu.re,CVC.CV.CV,3,آبغوره,N1,1,WWS
ʔɒb.fɒ,CVC.CV,2,آبفا,A0,10,WS
ʔɒb.Gom.bol,CVC.CVC.CVC,3,آبقمبل,N1,1,WWS
ʔɒb.cɒr,CVC.CVC,2,آبكار,N1,4,WS
ʔɒb.cɒ.ri,CVC.CV.CV,3,آبكاري,N1,45,WWS
ʔɒb.cɒft,CVC.CVCC,2,آبكافت,N1,1,WS
ʔɒb.cɒ.fe,CVC.CV.CV,3,آبكافه,N1,1,WWS
ʔɒb.co.re,CVC.CV.CV,3,آبكره,N1,1,WWS
ʔɒb.ceʃ,CVC.CVC,2,آبكش,N1,15,WS
ʔɒb.ceʃt,CVC.CVCC,2,آبكشت,N1,1,WS
ʔɒb.ce.ʃi,CVC.CV.CV,3,آبكشي,N1,15,WWS
ʔɒb.cæc,CVC.CVC,2,آبكك,N1,1,WS
ʔɒb.cænd,CVC.CVCC,2,آبكند,N1,1,WS
ʔɒb.cu.pil,CVC.CV.CVC,3,آبكوپيل,N1,1,WWS
ʔɒb.cu.he,CVC.CV.CV,3,آبكوهه,N1,1,WWS
ʔɒ.bæ.ci,CV.CV.CV,3,آبكي,A0,10,WWS
ʔɒb.cis,CVC.CVC,2,آبكيس,N1,1,WS
ʔɒb.ɟɒh,CVC.CVC,2,آبگاه,N1,1,WS
ʔɒ.be.ɟærm,CV.CV.CVCC,3,آبگرم,N1,165,WWS
ʔɒb.ɟæz,CVC.CVC,2,آبگز,A0,1,WS
ʔɒb.ɟuʃt,CVC.CVCC,2,آبگوشت,N1,45,WS
ʔɒb.ɟun,CVC.CVC,2,آبگون,A0,1,WS
ʔɒb.ɟu.ne,CVC.CV.CV,3,آبگونه,A0,1,WWS
ʔɒb.ɟir,CVC.CVC,2,آبگير,N1,15,WS
ʔɒb.ɟi.ne,CVC.CV.CV,3,آبگينه,N1,15,WWS
ʔɒb.le,CVC.CV,2,آبله,N1,37,WS
ʔɒb.le.ru,CVC.CV.CV,3,آبله‌رو,A0,1,WWS
ʔɒb.le.cu.bi,CVC.CV.CV.CV,4,آبله‌كوبي,N1,1,WWWS
ʔɒb.le.ɟun,CVC.CV.CVC,3,آبله‌گون,A0,1,WWS
ʔɒb.le.mor.Gɒn,CVC.CV.CVC.CVC,4,آبله‌مرغان,N1,6,WWWS
ʔɒb.liʧ,CVC.CVC,2,آبليچ,A0,1,WS
ʔɒb.li.mu,CVC.CV.CV,3,آبليمو,N1,45,WWS
ʔɒb.mɒr,CVC.CVC,2,آبمار,N1,1,WS
ʔɒb.mɒ.li,CVC.CV.CV,3,آبمالي,N1,1,WWS
ʔɒb.mi.ve.fu.ru.ʃi,CVC.CV.CV.CV.CV.CV,6,آبميوه‌فروشي,N1,1,WWWWWS
ʔɒb.mi.ve.ɟir,CVC.CV.CV.CVC,4,آبميوه‌گير,N1,1,WWWS
ʔɒb.mi.ve.ɟi.ri,CVC.CV.CV.CV.CV,5,آبميوه‌گيري,N1,1,WWWWS
ʔɒb.næ.bɒ.ti,CVC.CV.CV.CV,4,آبنباتي,A0,1,WWWS
ʔɒb.ne.ɟɒ.ri,CVC.CV.CV.CV,4,آبنگاري,N1,1,WWWS
ʔɒb.nus,CVC.CVC,2,آبنوس,N1,2,WS
ʔɒb.nu.si,CVC.CV.CV,3,آبنوسي,A0,1,WWS
ʔɒ.be,CV.CV,2,آبه,N1,15,WS
ʔɒ.bu,CV.CV,2,آبو,N1,1,WS
ʔɒb.væʃ,CVC.CVC,2,آبوش,A0,1,WS
ʔɒ.bun.mɒn,CV.CVC.CVC,3,آبونمان,N1,15,WWS
ʔɒ.bu.ne,CV.CV.CV,3,آبونه,A0,1,WWS
ʔɒ.bi,CV.CV,2,آبي,A0,720,WS
ʔɒ.bi.puʃ,CV.CV.CVC,3,آبي‌پوش,A0,10,WWS
ʔɒ.bi.χɒ.ci,CV.CV.CV.CV,4,آبي‌خاكي,A0,1,WWWS
ʔɒ.bi.rænɟ,CV.CV.CVCC,3,آبي‌رنگ,A0,13,WWS
ʔɒb.jɒ.bi,CVC.CV.CV,3,آبيابي,N1,1,WWS
ʔɒb.jɒr,CVC.CVC,2,آبيار,N1,1,WS
ʔɒb.jɒ.ri,CVC.CV.CV,3,آبياري,N1,135,WWS
ʔɒ.bid,CV.CVC,2,آبيد,V2,5000,WS
ʔɒ.bi.de,CV.CV.CV,3,آبيده,A0,1,WWS
ʔɒ.pɒ.rɒt,CV.CV.CVC,3,آپارات,N1,1,WWS
ʔɒ.pɒ.rɒt.ʧi,CV.CV.CVC.CV,4,آپاراتچي,N1,1,WWWS
ʔɒ.pɒr.tɒjd,CV.CVC.CVCC,3,آپارتايد,N1,1,WWS
ʔɒ.pɒr.tɒ.jid,CV.CVC.CV.CVC,4,آپارتايد,N1,7,WWWS
ʔɒ.pɒr.te.mɒn,CV.CVC.CV.CVC,4,آپارتمان,N1,60,WWWS
ʔɒ.pɒr.te.mɒ.ni.sɒ.zi,CV.CVC.CV.CV.CV.CV.CV,7,آپارتمان‌سازي,N1,3,WWWWWWS
ʔɒ.pɒr.te.mɒn.ne.ʃi.ni,CV.CVC.CV.CVC.CV.CV.CV,7,آپارتمان‌نشيني,N1,1,WWWWWWS
ʔɒ.pɒr.te.mɒ.ni,CV.CVC.CV.CV.CV,5,آپارتماني,A0,30,WWWWS
ʔɒ.pɒr.ti,CV.CVC.CV,3,آپارتي,A0,1,WWS
ʔɒ.pɒr.di,CV.CVC.CV,3,آپاردي,N1,1,WWS
ʔɒ.pɒn.dis,CV.CVC.CVC,3,آپانديس,N1,3,WWS
ʔɒ.pɒn.di.sit,CV.CVC.CV.CVC,4,آپانديسيت,N1,1,WWWS
ʔɒp.rɒc.si,CVC.CVC.CV,3,آپراكسي,N1,1,WWS
